timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-08-30T00:00:00.000Z;""2018-08-30T23:59:59.999Z"";""2018-08-30T01:19:00.000Z"";""2018-08-30T19:49:00.000Z"";""2781"";7043.76;7072.69;6834.69;6978.23;4463250000;120309828156;""2018-08-30T23:59:59.999Z"""
"2018-08-29T00:00:00.000Z;""2018-08-29T23:59:59.999Z"";""2018-08-29T10:24:00.000Z"";""2018-08-29T16:24:00.000Z"";""2781"";7091.71;7113.3;6970.82;7047.16;4145880000;121484666374;""2018-08-29T23:59:59.999Z"""
"2018-08-28T00:00:00.000Z;""2018-08-28T23:59:59.999Z"";""2018-08-28T20:29:00.000Z"";""2018-08-28T03:09:00.000Z"";""2781"";6891.08;7109.56;6882.34;7096.28;4659940000;122319195736;""2018-08-28T23:59:59.999Z"""
"2018-08-27T00:00:00.000Z;""2018-08-27T23:59:59.999Z"";""2018-08-27T23:59:00.000Z"";""2018-08-27T04:29:00.000Z"";""2781"";6710.8;6884.64;6689.71;6884.64;4019000000;118657885712;""2018-08-27T23:59:59.999Z"""
"2018-08-26T00:00:00.000Z;""2018-08-26T23:59:59.999Z"";""2018-08-26T00:44:00.000Z"";""2018-08-26T06:14:01.000Z"";""2781"";6754.64;6774.75;6620.75;6707.26;3295500000;115585205491;""2018-08-26T23:59:59.999Z"""
"2018-08-25T00:00:00.000Z;""2018-08-25T23:59:59.999Z"";""2018-08-25T02:39:00.000Z"";""2018-08-25T07:49:00.000Z"";""2781"";6719.95;6789.63;6700.96;6763.19;3312600000;116534497933;""2018-08-25T23:59:59.999Z"""
"2018-08-24T00:00:00.000Z;""2018-08-24T23:59:59.999Z"";""2018-08-24T23:59:00.000Z"";""2018-08-24T01:34:00.000Z"";""2781"";6551.52;6719.96;6498.64;6719.96;4097820000;115778358839;""2018-08-24T23:59:59.999Z"""
"2018-08-23T00:00:00.000Z;""2018-08-23T23:59:59.999Z"";""2018-08-23T22:14:00.000Z"";""2018-08-23T00:04:00.000Z"";""2781"";6371.34;6546.54;6371.34;6534.88;3426180000;112577436411;""2018-08-23T23:59:59.999Z"""
"2018-08-22T00:00:00.000Z;""2018-08-22T23:59:59.999Z"";""2018-08-22T02:04:02.000Z"";""2018-08-22T22:19:00.000Z"";""2781"";6486.25;6816.79;6310.11;6376.71;4668110000;109840902181;""2018-08-22T23:59:59.999Z"""
"2018-08-21T00:00:00.000Z;""2018-08-21T23:59:59.999Z"";""2018-08-21T21:54:00.000Z"";""2018-08-21T00:14:00.000Z"";""2781"";6301.07;6500.87;6298.24;6488.76;3377180000;111758100192;""2018-08-21T23:59:59.999Z"""
"2018-08-20T00:00:00.000Z;""2018-08-20T23:59:59.999Z"";""2018-08-20T02:09:18.000Z"";""2018-08-20T23:24:00.000Z"";""2781"";6500.51;6536.92;6297.93;6308.53;3665100000;108642191682;""2018-08-20T23:59:59.999Z"""
"2018-08-19T00:00:00.000Z;""2018-08-19T23:59:59.999Z"";""2018-08-19T21:29:18.000Z"";""2018-08-19T03:44:17.000Z"";""2781"";6422.57;6537.98;6361.55;6506.07;3311170000;112031838393;""2018-08-19T23:59:59.999Z"""
"2018-08-18T00:00:00.000Z;""2018-08-18T23:59:59.999Z"";""2018-08-18T01:14:15.000Z"";""2018-08-18T17:29:16.000Z"";""2781"";6583.43;6617.35;6353.73;6423.76;3984520000;110603014928;""2018-08-18T23:59:59.999Z"""
"2018-08-17T00:00:00.000Z;""2018-08-17T23:59:59.999Z"";""2018-08-17T23:24:14.000Z"";""2018-08-17T00:09:13.000Z"";""2781"";6340.91;6582.5;6324.97;6580.63;4992990000;113290724406;""2018-08-17T23:59:59.999Z"""
"2018-08-16T00:00:00.000Z;""2018-08-16T23:59:59.999Z"";""2018-08-16T10:59:12.000Z"";""2018-08-16T00:24:14.000Z"";""2781"";6294.23;6473.5;6276.41;6334.73;4328420000;109045250379;""2018-08-16T23:59:59.999Z"""
"2018-08-15T00:00:00.000Z;""2018-08-15T23:59:59.999Z"";""2018-08-15T18:19:11.000Z"";""2018-08-15T00:04:09.000Z"";""2781"";6221.42;6588.49;6221.42;6308.52;4895450000;108581773101;""2018-08-15T23:59:59.999Z"""
"2018-08-14T00:00:00.000Z;""2018-08-14T23:59:59.999Z"";""2018-08-14T00:14:08.000Z"";""2018-08-14T03:09:08.000Z"";""2781"";6287.66;6287.94;5971.05;6199.71;5301700000;106696389129;""2018-08-14T23:59:59.999Z"""
"2018-08-13T00:00:00.000Z;""2018-08-13T23:59:59.999Z"";""2018-08-13T09:39:06.000Z"";""2018-08-13T17:29:07.000Z"";""2781"";6341.36;6537.05;6225.72;6297.57;4083980000;108369686635;""2018-08-13T23:59:59.999Z"""
"2018-08-12T00:00:00.000Z;""2018-08-12T23:59:59.999Z"";""2018-08-12T19:44:05.000Z"";""2018-08-12T00:19:04.000Z"";""2781"";6283.65;6409.85;6237.5;6322.69;5665250000;108790259014;""2018-08-12T23:59:59.999Z"""
"2018-08-11T00:00:00.000Z;""2018-08-11T23:59:59.999Z"";""2018-08-11T18:09:04.000Z"";""2018-08-11T07:29:03.000Z"";""2781"";6185.79;6455.74;6109.03;6295.73;4047850000;108314257212;""2018-08-11T23:59:59.999Z"""
"2018-08-10T00:00:00.000Z;""2018-08-10T23:59:59.999Z"";""2018-08-10T00:59:00.000Z"";""2018-08-10T23:19:02.000Z"";""2781"";6571.42;6591.26;6124.52;6184.71;4528680000;106390927598;""2018-08-10T23:59:59.999Z"""
"2018-08-09T00:00:00.000Z;""2018-08-09T23:59:59.999Z"";""2018-08-09T22:59:00.000Z"";""2018-08-09T13:39:00.000Z"";""2781"";6305.56;6625.73;6249.07;6568.23;4267040000;112973963230;""2018-08-09T23:59:59.999Z"""
"2018-08-08T00:00:00.000Z;""2018-08-08T23:59:59.999Z"";""2018-08-08T00:04:00.000Z"";""2018-08-08T18:44:02.000Z"";""2781"";6746.85;6746.85;6226.22;6305.8;5064430000;108448409560;""2018-08-08T23:59:59.999Z"""
