,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018,27/03/2013,79.81,89.99,78.75,89.3,6073.079583,528292.7343,86.98926584
2019,26/03/2013,74.3,100,74.3,79.81,6748.681119,536804.5562,79.54214264
2020,25/03/2013,70.22,80,69.25,75.11,8198.252314,600261.144,73.2181837
2021,24/03/2013,64.37,71,63.36,70.22,3627.694804,249504.607,68.77772815
2022,23/03/2013,68.81,72,50.09,63.9,13092.94728,799580.9567,61.06959261
2023,22/03/2013,70.87,74.47,65,69.9,5462.696552,385986.7666,70.65865052
2024,21/03/2013,65.13,76.91,64.61,72.23,9864.56711,697134.3408,70.6705457
2025,20/03/2013,59.46,67.99,58.86,64.2,8546.006802,529201.1367,61.92379072
2026,19/03/2013,49.87,60,48,59.41,9303.9379,514314.6189,55.27924029
2027,18/03/2013,47.24,51.1,46.98,50.35,5924.103027,285215.3912,48.14490732
2028,17/03/2013,46.7,47.24,46.7,47.24,1102.960298,51827.61107,46.98955271
2029,16/03/2013,46.93,47,46.58,46.74,909.7556343,42583.4536,46.80757336
2030,15/03/2013,46.95,47.29,46.9,46.9,1063.764438,50102.52266,47.09926453
2031,14/03/2013,46.99,47.97,46.8,46.95,3527.687091,167173.932,47.38910445
2032,13/03/2013,44.29,47.09,44.2,46.99,3290.234405,152004.6636,46.19873386
2033,12/03/2013,48.15,48.25,36,44.84,11195.69562,484836.0893,43.30557971
2034,11/03/2013,45.97,48.38,45.6,48.25,3400.785946,160700.3885,47.25389691
2035,10/03/2013,45.76,47,45,45.29,1252.097714,57957.99057,46.28871209
2036,09/03/2013,43.77,46,42,46,3829.21996,169630.8174,44.29905285
2037,08/03/2013,41.68,44.37,40.56,43.76,4388.759446,187903.312,42.81467561
2038,07/03/2013,42.31,46,33,41.68,16259.06198,656197.2746,40.35886421
2039,06/03/2013,40.66,49.17,40.66,42.32,10298.43893,477703.0296,46.38596517
2040,05/03/2013,36.56,41,36.53,40.75,6476.19221,255026.7746,39.37912377
2041,04/03/2013,34.33,37,34.24,36.52,6165.244721,218170.5081,35.38716109
2042,03/03/2013,34.29,34.34,33.91,34.33,1136.626083,38835.95031,34.16774514
2043,02/03/2013,34.55,34.77,33.6,34.16,2128.57214,72650.36173,34.13103101
2044,01/03/2013,33.53,34.75,33.25,34.55,3666.425829,125024.6177,34.09986279
2045,28/02/2013,31.31,34.42,31.31,33.53,6726.874325,222654.2886,33.09921932
2046,27/02/2013,31.01,31.77,30.45,31.31,3168.544415,98872.37182,31.20435091
2047,26/02/2013,30.43,32,29.85,31.1,5071.901744,156914.9114,30.93808188
2048,25/02/2013,29.79,30.49,29.78,30.43,1564.848678,47315.23987,30.2363037
2049,24/02/2013,29.55,30.37,29.08,29.78,1590.77752,47358.78831,29.77084332
2050,23/02/2013,30.37,30.44,27.67,29.54,3865.848259,112006.7497,28.97339528
2051,22/02/2013,29.96,31.49,29.9,30.4,6182.202274,188602.7129,30.50736688
2052,21/02/2013,30,30.14,29.6,30,3576.112024,106946.5759,29.90582376
2053,20/02/2013,29.39,30.07,29.21,30,3832.393223,113554.9514,29.63029751
2054,19/02/2013,26.92,29.5,26.7,29.39,9541.051772,269205.9189,28.21553906
2055,18/02/2013,26.81,27,26.29,26.92,3103.541936,82786.80351,26.67494277
2056,17/02/2013,27.36,27.5,25.25,26.98,7942.000112,208241.4397,26.2202766
2057,16/02/2013,27.43,27.58,26.71,27.5,2782.389487,75384.61549,27.09348057
